X,Y,OBJECTID,REPT_NO,LABEL,YEARDRILLED,GRIDNAME,GRIDLINE,GRIDSTATION,LOCATIONMAP,COMMENTS,AZIMUTHTRUE,DIP,LENGTH_M,OVERBURDEN_M,SURFACEROCK,CORESIZE,LOGSREPORTED,LOCATIONDETAIL
-64.8752132526615,45.846536334908,1,470644,J-3,1969, ,13+00E,3440N,Yes, ,225,-45,44.196,7.0104,CONGLOMERATE, ,Yes,
-64.8499123389605,45.8499870848471,2,470644,J-4,1969, ,72+00E,2600N,Yes, ,210,-45,34.1376,4.8768,ANDESITE, ,Yes,
-64.7887891801752,45.866162325375,3,470645,I-1,1969, ,L44E,3+75N,Yes, ,157,-45,20.7264,6.858,Rhyolite, ,Yes,
-64.6483880069969,45.8650141903716,4,474389,DEM93-2,1993, ,L13+06N,0+69E,Yes,This hole was deepened from 16.8 to 41.1m. (DEM93-2A),,-90,41.1,3,SILTSTONE,HQ,Yes,
-64.6490483349687,45.8664557560206,5,474389,DEM93-3,1993, ,L15+00N,0+75E,Yes, ,,-90,43.9,3,SANDSTONE,HQ,Yes,
-64.647338629621,45.865195059915,6,474389,DEM93-4,1993, ,L12+88N,1+47E,Yes, ,,-90,43.9,1.2,SANDSTONE,HQ,Yes,
-64.6469564822699,45.866223690221,7,474389,DEM93-5,1993, ,L13+85N,2+79E,Yes, ,,-90,111.9,2.7,CONGLOMERATE,HQ,Yes,
-64.6410114702034,45.8541311805628,8,474389,DEM93-6,1993, ,L0+00N,1+83E,Yes, ,,-90,62.2,5.8,SANDSTONE,HQ,Yes,
-64.6469929057704,45.8670611719989,9,474389,DEM93-7,1993, ,L15+00N,2+75E,Yes, ,,-90,101.8,3.2,CONGLOMERATE,HQ,Yes,
-64.6399877001568,45.8531695505654,10,474389,DEM93-8,1993, ,L1+00S,1+75E,Yes, ,,-90,59.1,9.7,CONGLOMERATE,HQ,Yes,
-64.6772741337034,45.7922491733628,11,TR 75-11,CHCR-35,1975, , , ,Yes,"Abandoned, see Topical Report 75-11",,-90,24.384,24.384,BOULDERS,BQ,Yes,
-64.6791777029688,45.7906869261533,12,TR 75-13,CHCR-36,1975, , , ,Yes,"Abandoned, see Topical Report 75-13",,-90,22.86,22.86,OVERBURDEN,BQ,Yes,
-64.6783537100427,45.7926714428872,13,TR 75-10,CHCR-37,1975, , , ,Yes,see Topical Report 75-10,,-89,57.6072,19.2024,ANHYDRITE,BQ,Yes,
-64.6758775031397,45.7936485566916,14,TR 75-11,CHCR-40,1975, , , ,Yes,see Topical Report 75-11,,-90,22.5552,7.3152,GYPSUM,BQ,Yes,
-64.6507538666027,45.7673615339554,15,TR 75-15,SH-32,1975, , , ,Yes,see Topical Report 75-15,,-90,30.1752,19.2024,LIMESTONE,BQ,Yes,
-64.6530792947011,45.7658695859378,16,TR 75-16,SH-33,1975, , , ,Yes,"Abandoned, see Topical Report 75-16",,-90,26.8224,26.8224,OVERBURDEN,BQ,Yes,
-64.6549043083173,45.763955512312,17,TR 75-14,SH-34,1975, , , ,Yes,see Topical Report 75-14,,-88,25.6032,13.4112,GYPSUM,BQ,Yes,
-65.494706893612,45.7923491389483,18,470672,59025,1976, , , ,Yes, ,,-90,25.908,6.73608,LIMESTONE,AQ,Yes,
-65.4429601568588,45.8748671752786,19,472205,59053,1978, ,L6+00S,1+00E,Yes, ,280,-45,52.1208,21.336,SANDSTONE,AQ,Yes,
-65.3320343583718,45.9788415568631,20,472377,59072,1979, , , ,Yes, ,165,-85,36.576,18.34896,SILTSTONE,AW,Yes,
-65.3346649047594,45.9875245159957,21,472377,59073,1979, , , ,Yes, ,165,-85,51.816,15.24,LIMESTONE,AW,Yes,
-65.3762248644695,45.9756514657145,22,474161,SA-91-068,1992, , , ,Yes, ,,-90,56.39,4.27,SANDSTONE,NQ,Yes,
-65.3744950005698,45.9744106548149,23,474161,SA-91-069,1992, , , ,Yes, ,,-90,83.82,3.66,SANDSTONE,NQ,Yes,
-65.3726965738757,45.9759044932301,24,474161,SA-91-070,1992, , , ,Yes, ,,-90,99.06,3.66,SANDSTONE,NQ,Yes,
-65.3749883198774,45.9774388205647,25,474161,SA-91-071,1992, , , ,Yes, ,,-90,59.44,3.66,SANDSTONE,NQ,Yes,
-65.3736521315032,45.9790452182125,26,474161,SA-91-072,1992, , , ,Yes, ,,-90,80.16,3.66,SANDSTONE,NQ,Yes,
